s_i,a_i,s_i+1,r_i
"[300.0,0.0,0.0,0.0,0.0,0.0]","[0,0]","[300.0,0.0,0.0,0.0,0.0,0.0]",1
"[300.0,5.255039149675226e-05,0.0,0.0105206121979896,2.7615436464619325e-09,0.00011068328102048758]","[0,0]","[300.0,5.255039149675226e-05,0.0,0.0105206121979896,2.7615436464619325e-09,0.00011068328102048758]",1
"[300.0000005852166,0.00010513260399510385,0.00011689569108877335,0.0210480014266949,1.1052864422791325e-08,0.0004430183640581505]","[0,0]","[300.0000005852166,0.00010513260399510385,0.00011689569108877335,0.0210480014266949,1.1052864422791325e-08,0.0004430183640581505]",1
"[300.0000017533566,0.00015777673479283713,0.0003507623736076056,0.03158895190930281,2.4893498041889263e-08,0.0009978618827282456]","[0,0]","[300.0000017533566,0.00015777673479283713,0.0003507623736076056,0.03158895190930281,2.4893498041889263e-08,0.0009978618827282456]",1
"[300.0000035064315,0.00021051335144847228,0.0007017507281554146,0.042150253091540066,4.4315871138068005e-08,0.0017766438356808828]","[0,0]","[300.0000035064315,0.00021051335144847228,0.0007017507281554146,0.042150253091540066,4.4315871138068005e-08,0.0017766438356808828]",1
"[300.0000058454687,0.00026337291029090965,0.0011700868736169707,0.05273870686029649,6.936528987510354e-08,0.0027813712012962843]","[0,0]","[300.0000058454687,0.00026337291029090965,0.0011700868736169707,0.05273870686029649,6.936528987510354e-08,0.0027813712012962843]",1
"[300.00000877183436,0.0003163858688513988,0.0017560725053980429,0.06336113082020885,1.0010001800885451e-07,0.00401463289881562]","[0,0]","[300.00000877183436,0.0003163858688513988,0.0017560725053980429,0.06336113082020885,1.0010001800885451e-07,0.00401463289881562]",1
"[300.0000122872329,0.00036958268217011117,0.00246008507006703,0.07402436222588807,1.365913589600534e-07,0.005479606202949484]","[0,0]","[300.0000122872329,0.00036958268217011117,0.00246008507006703,0.07402436222588807,1.365913589600534e-07,0.005479606202949484]",1
"[300.00001639370714,0.0004229937985404808,0.0032825779836880087,0.08473526191249471,1.7892375360370484e-07,0.007180064611379077]","[0,0]","[300.00001639370714,0.0004229937985404808,0.0032825779836880087,0.08473526191249471,1.7892375360370484e-07,0.007180064611379077]",1
"[300.0000210936382,0.00047664965455221034,0.004224080893826839,0.09550071822414596,2.2719489318474146e-07,0.009120387181327724]","[0,0]","[300.0000210936382,0.00047664965455221034,0.004224080893826839,0.09550071822414596,2.2719489318474146e-07,0.009120387181327724]",1
